   115/299       18G   0.02739   0.02382   0.00193   0.05314       176       640    0.9106    0.8272    0.8711    0.6046     0.572   0.02809   0.02085  0.002565
   116/299       18G    0.0271   0.02345  0.001922   0.05247       166       640    0.9008    0.8138    0.8669    0.6042     0.571   0.02814   0.02098    0.0025
   117/299       18G   0.02713   0.02364  0.001873   0.05264       208       640    0.9078    0.8305    0.8744     0.595    0.5682   0.02819    0.0209  0.002483
   118/299       18G   0.02695   0.02367  0.001766   0.05238        90       640    0.8845    0.8334    0.8644     0.601    0.5633    0.0282   0.02083   0.00252
   119/299       18G   0.02696   0.02346  0.001976   0.05239       163       640    0.9037    0.8178    0.8649    0.6101    0.5685   0.02818   0.02087  0.002438
   120/299       18G   0.02652   0.02306  0.001779   0.05137       137       640    0.9021    0.8157     0.863    0.6062    0.5675   0.02821   0.02086  0.002466
   121/299       18G   0.02746   0.02408  0.001933   0.05348       138       640    0.9081    0.8143    0.8665    0.6081    0.5724   0.02812   0.02083  0.002551
   122/299       18G   0.02691   0.02328   0.00197   0.05216       131       640     0.905     0.816    0.8679    0.6095    0.5728   0.02816   0.02101  0.002699
   123/299       18G   0.02713   0.02352  0.001777   0.05243       129       640     0.898     0.819    0.8627    0.6103    0.5683   0.02814   0.02099  0.002935
   124/299       18G   0.02677   0.02346  0.001881   0.05212       171       640     0.897    0.8229    0.8692    0.6078    0.5679   0.02811   0.02088  0.003001
   125/299       18G   0.02693   0.02341  0.001921   0.05226       163       640    0.8959    0.8234    0.8633    0.6064    0.5737   0.02804   0.02082  0.002813
   126/299       18G    0.0271   0.02358  0.001846   0.05252       200       640     0.892    0.8269    0.8639    0.6083     0.573   0.02796   0.02077  0.002607
   127/299       18G    0.0266   0.02311  0.001801   0.05151       196       640    0.9045    0.8101     0.868    0.6027    0.5726   0.02795   0.02082  0.002809
   128/299       18G   0.02675   0.02304  0.001825   0.05162       240       640     0.897    0.8175    0.8656     0.606    0.5725     0.028   0.02096  0.003031
   129/299       18G   0.02654   0.02307  0.001831   0.05144       159       640    0.8893    0.8212    0.8632    0.6085    0.5725   0.02798   0.02093  0.002763
   130/299       18G   0.02686   0.02331  0.001792   0.05196       202       640    0.8923    0.8318    0.8681    0.6133    0.5741   0.02802   0.02095  0.002955
   131/299       18G   0.02655   0.02309  0.001721   0.05136       108       640    0.9053    0.8277     0.867    0.6111    0.5745   0.02794   0.02098  0.002821
   132/299       18G   0.02638   0.02328  0.001789   0.05146       135       640    0.8871    0.8322    0.8685    0.6142    0.5745   0.02784   0.02085  0.002804
   133/299       18G   0.02639   0.02257  0.001758   0.05072       190       640    0.8992     0.824    0.8667    0.6085    0.5747   0.02783   0.02093  0.002664
   134/299       18G    0.0265   0.02302  0.001774    0.0513       156       640    0.9036    0.8215    0.8664    0.6165    0.5766   0.02781   0.02089  0.002675
   135/299       18G   0.02607   0.02277  0.001741   0.05058       115       640    0.9085    0.8177    0.8671    0.6184    0.5758   0.02772   0.02083   0.00316
   136/299       18G   0.02587   0.02251  0.001736   0.05012       132       640    0.9055    0.8184    0.8701    0.6062    0.5775   0.02775    0.0208  0.003501
   137/299       18G   0.02612    0.0228  0.001765   0.05068        80       640    0.9032    0.8321    0.8711    0.6061    0.5731   0.02779   0.02083  0.003497
   138/299       18G   0.02625   0.02295  0.001681   0.05088       180       640    0.8921    0.8359    0.8715    0.5997    0.5714   0.02784   0.02094  0.003511
   139/299       18G   0.02601    0.0226  0.001775   0.05039       155       640    0.8904    0.8361    0.8698    0.6058    0.5722    0.0278   0.02097  0.003506
   140/299       18G   0.02607   0.02252  0.001841   0.05043       151       640    0.8898    0.8339    0.8709    0.5999    0.5732   0.02773   0.02093  0.003305
   141/299       18G   0.02596    0.0229  0.001777   0.05064       137       640    0.8873    0.8278    0.8665    0.5964    0.5706    0.0277   0.02101  0.003091
   142/299       18G   0.02564   0.02284  0.001662   0.05015       161       640    0.8964    0.8246     0.869    0.6048    0.5733   0.02773   0.02095  0.003206
   143/299       18G   0.02575   0.02221  0.001667   0.04963       188       640    0.8944    0.8358    0.8739    0.6047     0.575   0.02776   0.02089  0.003224
   144/299       18G   0.02571   0.02258  0.001698   0.04999       122       640    0.8954    0.8312    0.8733    0.5984    0.5742   0.02775    0.0209  0.003121
   145/299       18G   0.02593   0.02251  0.001693   0.05013       191       640    0.8967    0.8315    0.8735    0.6082    0.5786   0.02765     0.021    0.0032
   146/299       18G   0.02566   0.02221  0.001702   0.04957       244       640    0.8955    0.8273    0.8681    0.6154    0.5802   0.02763   0.02098  0.003161
   147/299       18G   0.02582   0.02236  0.001783   0.04996       122       640     0.898    0.8291    0.8702     0.612    0.5797   0.02762   0.02092  0.003176
